Order id,Product,Quantity Ordered,Cost Price,Selling Price,Order Date,Location
176670,Apple Airpods Headphones,1,140.19,150,04/25/19 21:23,Mumbai
176671,AAA Batteries (4-pack),2,2.82,2.99,04/23/19 16:31,Pune
176672,Lightning Charging Cable,1,13.72,14.95,04-12-2019 11:07,Chennai
176672,USB-C Charging Cable,1,10.96,11.95,04-12-2019 11:07,Pune
176673,20in Monitor,1,99.99,109.99,04-10-2019 08:17,Pune
176674,AAA Batteries (4-pack),3,2.9,2.99,04/20/19 20:53,Mumbai
176675,AAA Batteries (4-pack),1,2.77,2.99,04-02-2019 09:02,Delhi
176676,LG Dryer,1,582.52,600,04-09-2019 00:35,Chennai
176677,34in Ultrawide Monitor,1,345.45,379.99,04-01-2019 11:50,Chennai
176678,AA Batteries (4-pack),2,3.59,3.84,04/19/19 22:12,Nashik
176679,Apple Airpods Headphones,1,136.36,150,04/16/19 11:12,Chennai
176680,USB-C Charging Cable,1,11.72,11.95,04/13/19 11:28,Nashik
176681,Apple Airpods Headphones,1,144.23,150,04/20/19 10:39,Delhi
176681,ThinkPad Laptop,1,961.53,999.99,04/20/19 10:39,Nashik
176682,Lightning Charging Cable,1,14.1,14.95,04/27/19 06:19,Mumbai
176683,AA Batteries (4-pack),1,3.73,3.84,04-03-2019 13:54,Delhi
176684,USB-C Charging Cable,1,11.49,11.95,04/17/19 00:51,Chennai
176685,34in Ultrawide Monitor,1,351.84,379.99,04/23/19 22:53,Chennai
176686,Wired Headphones,1,11.64,11.99,04/17/19 15:17,Pune
176687,Macbook Pro Laptop,1,1574.07,1700,04/30/19 10:26,Pune
176688,Flatscreen TV,1,288.46,300,04/20/19 18:25,Nashik
176689,Bose SoundSport Headphones,1,91.73,99.99,04/24/19 17:15,Delhi
176689,AAA Batteries (4-pack),2,2.93,2.99,04/24/19 17:15,Delhi
176690,20in Monitor,1,107.83,109.99,04-04-2019 18:33,Nashik
176691,AAA Batteries (4-pack),1,2.9,2.99,04-12-2019 11:57,Pune
176692,Wired Headphones,1,11.42,11.99,04-08-2019 18:21,Mumbai
176693,AA Batteries (4-pack),1,3.62,3.84,04/22/19 09:00,Nashik
176694,USB-C Charging Cable,1,11.6,11.95,04-05-2019 20:46,Mumbai
176695,AA Batteries (4-pack),2,3.52,3.84,04-12-2019 20:50,Mumbai
176696,iPhone,1,648.15,700,04-07-2019 12:41,Pune
176697,Wired Headphones,1,10.9,11.99,04/20/19 22:38,Chennai
176698,Bose SoundSport Headphones,1,93.45,99.99,04-02-2019 16:15,Mumbai
176699,Bose SoundSport Headphones,1,92.58,99.99,04/28/19 18:04,Chennai
176700,34in Ultrawide Monitor,1,348.61,379.99,04-07-2019 23:10,Nashik
176701,USB-C Charging Cable,1,11.72,11.95,04-11-2019 13:05,Pune
176702,AA Batteries (4-pack),1,3.73,3.84,04/23/19 19:44,Mumbai
176703,20in Monitor,1,102.79,109.99,04/17/19 10:00,Pune
176704,AA Batteries (4-pack),2,3.52,3.84,04/17/19 10:00,Delhi
176705,Lightning Charging Cable,2,14.38,14.95,04-06-2019 09:38,Nashik
176706,Lightning Charging Cable,1,14.1,14.95,04/13/19 13:32,Mumbai
176707,Apple Airpods Headphones,1,147.06,150,04/13/19 10:34,Nashik
176708,Wired Headphones,1,11.87,11.99,04/28/19 23:03,Chennai
176709,AA Batteries (4-pack),1,3.59,3.84,04/24/19 14:17,Mumbai
176710,20in Monitor,2,103.76,109.99,04-07-2019 10:00,Chennai
176711,Flatscreen TV,1,294.12,300,04/30/19 10:58,Pune
176712,Google Phone,1,588.24,600,04/20/19 05:21,Pune
176713,Wired Headphones,1,11.75,11.99,04/21/19 10:48,Pune
176714,USB-C Charging Cable,1,11.83,11.95,04/26/19 23:34,Mumbai
176715,Apple Airpods Headphones,1,140.19,150,04/27/19 16:43,Pune
176716,Wired Headphones,1,11.31,11.99,04/24/19 14:43,Delhi
176717,Apple Airpods Headphones,1,145.63,150,04/19/19 10:34,Delhi
176718,Lightning Charging Cable,1,14.1,14.95,04/22/19 19:14,Pune
176719,Flatscreen TV,1,291.26,300,04/27/19 13:07,Nashik
176720,Lightning Charging Cable,1,13.59,14.95,04/21/19 10:35,Mumbai
176721,AAA Batteries (4-pack),1,2.9,2.99,04/26/19 21:08,Delhi
176722,27in 4K Gaming Monitor,1,361.1,389.99,04-01-2019 10:57,Nashik
176723,27in 4K Gaming Monitor,1,361.1,389.99,04/19/19 21:31,Delhi
176724,Lightning Charging Cable,1,14.8,14.95,04/26/19 20:59,Nashik
176725,AA Batteries (4-pack),2,3.69,3.84,04/15/19 14:33,Delhi
176726,USB-C Charging Cable,1,11.6,11.95,04/13/19 18:14,Delhi
176727,Lightning Charging Cable,1,13.84,14.95,04/14/19 14:26,Chennai
176728,Lightning Charging Cable,1,13.84,14.95,04/21/19 07:38,Chennai
176729,USB-C Charging Cable,1,11.6,11.95,04/24/19 09:57,Mumbai
176730,Bose SoundSport Headphones,1,95.23,99.99,04/17/19 08:27,Chennai
176731,AAA Batteries (4-pack),2,2.77,2.99,04/21/19 16:17,Nashik
176732,iPhone,1,654.21,700,04/23/19 09:33,Nashik
176733,20in Monitor,1,101.84,109.99,04-11-2019 13:31,Pune
176734,Apple Airpods Headphones,1,147.06,150,04-03-2019 22:13,Chennai
176735,27in FHD Monitor,1,147.05,149.99,04/16/19 23:52,Pune
176736,AA Batteries (4-pack),1,3.66,3.84,04/17/19 11:48,Delhi
176737,Apple Airpods Headphones,1,137.61,150,04-07-2019 01:28,Mumbai
176738,AA Batteries (4-pack),1,3.62,3.84,04-03-2019 13:17,Mumbai
176739,34in Ultrawide Monitor,1,365.38,379.99,04-05-2019 17:38,Mumbai
176739,Google Phone,1,555.56,600,04-05-2019 17:38,Chennai
176740,Bose SoundSport Headphones,1,97.08,99.99,04/24/19 15:10,Chennai
176741,USB-C Charging Cable,1,11.83,11.95,04/29/19 18:49,Mumbai
176742,Wired Headphones,1,11.42,11.99,04/17/19 09:54,Nashik
176743,27in 4K Gaming Monitor,1,371.42,389.99,04-01-2019 09:17,Nashik
176744,Lightning Charging Cable,1,14.1,14.95,04/14/19 19:59,Chennai
176745,Wired Headphones,1,11,11.99,04/24/19 09:23,Nashik
176746,27in 4K Gaming Monitor,1,367.92,389.99,04-08-2019 19:04,Pune
176747,Macbook Pro Laptop,1,1634.62,1700,04/27/19 15:04,Nashik
176748,Flatscreen TV,1,297.03,300,04/24/19 15:28,Nashik
176749,ThinkPad Laptop,1,934.57,999.99,04/26/19 07:55,Nashik
176750,AA Batteries (4-pack),1,3.69,3.84,04/13/19 23:52,Pune
176751,AAA Batteries (4-pack),1,2.79,2.99,04/18/19 13:01,Pune
176752,AA Batteries (4-pack),1,3.49,3.84,04/13/19 23:59,Pune
176753,USB-C Charging Cable,1,10.86,11.95,04-01-2019 23:07,Delhi
176754,34in Ultrawide Monitor,1,365.38,379.99,04-02-2019 17:07,Chennai
176755,27in 4K Gaming Monitor,1,361.1,389.99,04-09-2019 16:21,Chennai
176756,27in FHD Monitor,1,137.61,149.99,04-05-2019 17:06,Mumbai
176757,AA Batteries (4-pack),1,3.52,3.84,04-11-2019 20:28,Delhi
176758,34in Ultrawide Monitor,1,351.84,379.99,04/18/19 21:26,Mumbai
176759,Lightning Charging Cable,1,14.38,14.95,04-06-2019 12:46,Mumbai
176760,Wired Headphones,1,11.1,11.99,04-02-2019 20:32,Pune
176761,Apple Airpods Headphones,1,136.36,150,04/26/19 20:00,Nashik
176762,AA Batteries (4-pack),1,3.59,3.84,04/18/19 14:06,Delhi
176763,USB-C Charging Cable,1,11.17,11.95,04/25/19 13:36,Delhi
176764,Wired Headphones,1,11.53,11.99,04/16/19 19:52,Mumbai
176765,USB-C Charging Cable,1,11.49,11.95,04/14/19 20:44,Pune
176766,AA Batteries (4-pack),2,3.59,3.84,04/21/19 19:52,Chennai
176767,27in 4K Gaming Monitor,1,354.54,389.99,04-09-2019 14:18,Pune
176768,Wired Headphones,1,11.53,11.99,04-04-2019 00:03,Chennai
176769,AA Batteries (4-pack),1,3.69,3.84,04/29/19 14:14,Mumbai
176770,Wired Headphones,1,11.42,11.99,04-08-2019 17:38,Pune
176771,Lightning Charging Cable,1,14.8,14.95,04/24/19 17:40,Mumbai
176772,AA Batteries (4-pack),1,3.66,3.84,04-10-2019 21:48,Mumbai
176773,AAA Batteries (4-pack),2,2.96,2.99,04/25/19 20:07,Delhi
176774,Lightning Charging Cable,1,13.72,14.95,04/25/19 15:06,Nashik
176774,USB-C Charging Cable,1,11.38,11.95,04/25/19 15:06,Delhi
176775,USB-C Charging Cable,2,11.49,11.95,04-01-2019 20:56,Chennai
176776,Bose SoundSport Headphones,1,98.03,99.99,04/24/19 23:28,Nashik
176777,Apple Airpods Headphones,1,145.63,150,04/14/19 16:53,Delhi
176778,34in Ultrawide Monitor,1,345.45,379.99,04-12-2019 17:46,Nashik
176779,27in FHD Monitor,1,142.85,149.99,04-04-2019 16:46,Nashik
176780,Lightning Charging Cable,1,14.38,14.95,04/18/19 23:51,Delhi
176781,iPhone,1,686.27,700,04-03-2019 07:37,Mumbai
176781,Lightning Charging Cable,1,14.66,14.95,04-03-2019 07:37,Nashik
176782,Apple Airpods Headphones,1,145.63,150,04/22/19 13:42,Chennai
176783,Apple Airpods Headphones,1,142.86,150,04-05-2019 11:40,Delhi
176784,AAA Batteries (4-pack),1,2.74,2.99,04-08-2019 10:14,Delhi
176785,Bose SoundSport Headphones,1,90.9,99.99,04-03-2019 15:39,Chennai
176786,20in Monitor,1,104.75,109.99,04-06-2019 16:40,Nashik
176787,Google Phone,1,560.75,600,04/14/19 10:10,Nashik
176788,Bose SoundSport Headphones,1,93.45,99.99,04/15/19 04:39,Chennai
176789,Lightning Charging Cable,1,13.59,14.95,04/21/19 20:15,Pune
176790,AAA Batteries (4-pack),1,2.72,2.99,04/28/19 12:07,Mumbai
176791,Google Phone,1,555.56,600,04/21/19 11:43,Pune
176792,27in 4K Gaming Monitor,1,382.34,389.99,04/30/19 19:29,Chennai
176793,Wired Headphones,1,11.53,11.99,04/17/19 17:09,Pune
176794,Lightning Charging Cable,1,14.24,14.95,04-10-2019 21:40,Pune
176795,Wired Headphones,1,11,11.99,04/13/19 11:46,Mumbai
176796,Bose SoundSport Headphones,1,98.03,99.99,04-07-2019 08:44,Chennai
176797,Google Phone,1,594.06,600,04/21/19 08:54,Mumbai
176797,Bose SoundSport Headphones,1,93.45,99.99,04/21/19 08:54,Mumbai
176797,Wired Headphones,1,11.75,11.99,04/21/19 08:54,Pune
176798,iPhone,1,666.67,700,04-06-2019 10:31,Nashik
176799,Wired Headphones,1,11.1,11.99,04-03-2019 14:24,Pune
176800,Lightning Charging Cable,1,13.59,14.95,04-09-2019 11:35,Chennai
176801,Vareebadd Phone,1,363.64,400,04/28/19 18:52,Pune
176802,AA Batteries (4-pack),1,3.52,3.84,04/29/19 17:33,Chennai
176803,AA Batteries (4-pack),1,3.62,3.84,04-01-2019 23:00,Mumbai
176804,Bose SoundSport Headphones,1,94.33,99.99,04/21/19 21:56,Chennai
176805,Google Phone,1,582.52,600,04-01-2019 15:50,Mumbai
176805,USB-C Charging Cable,1,11.06,11.95,04-01-2019 15:50,Nashik
176806,Macbook Pro Laptop,1,1650.49,1700,04/22/19 13:26,Nashik
176807,USB-C Charging Cable,1,10.86,11.95,04/21/19 17:13,Mumbai
176808,Google Phone,1,566.04,600,04/28/19 18:03,Nashik
176808,Wired Headphones,1,11.1,11.99,04/28/19 18:03,Chennai
176809,Bose SoundSport Headphones,2,99,99.99,04/19/19 01:14,Pune
176810,AAA Batteries (4-pack),1,2.74,2.99,04/30/19 14:57,Delhi
176811,AA Batteries (4-pack),2,3.76,3.84,04/14/19 23:02,Chennai
176812,Wired Headphones,1,11.21,11.99,04/20/19 16:40,Mumbai
176813,Google Phone,1,566.04,600,04/28/19 18:01,Chennai
176813,Wired Headphones,1,11.42,11.99,04/28/19 18:01,Delhi
176814,Lightning Charging Cable,1,13.59,14.95,04-09-2019 12:09,Delhi
176815,AAA Batteries (4-pack),1,2.77,2.99,04-04-2019 13:36,Mumbai
176816,27in 4K Gaming Monitor,1,378.63,389.99,04/19/19 20:14,Nashik
176817,Lightning Charging Cable,1,13.97,14.95,04/26/19 20:47,Pune
176818,Wired Headphones,1,11.64,11.99,04-09-2019 02:19,Delhi
176819,AA Batteries (4-pack),2,3.52,3.84,04/15/19 05:44,Mumbai
176820,USB-C Charging Cable,1,10.96,11.95,04/17/19 12:10,Mumbai
176821,34in Ultrawide Monitor,1,365.38,379.99,04/18/19 15:08,Pune
176822,AAA Batteries (4-pack),1,2.82,2.99,04/22/19 19:50,Nashik
176823,Wired Headphones,1,11,11.99,04-06-2019 20:18,Mumbai
176824,USB-C Charging Cable,2,10.96,11.95,04-03-2019 13:01,Pune
176825,LG Washing Machine,1,550.46,600,04/13/19 22:31,Pune
176826,Bose SoundSport Headphones,1,92.58,99.99,04-11-2019 00:15,Delhi
176827,AAA Batteries (4-pack),1,2.79,2.99,04/20/19 13:36,Pune
176828,iPhone,1,666.67,700,04-07-2019 22:13,Delhi
176829,Wired Headphones,1,11.87,11.99,04/30/19 09:09,Pune
176830,Wired Headphones,1,11.64,11.99,04/18/19 12:02,Chennai
176831,USB-C Charging Cable,1,11.17,11.95,04-01-2019 07:39,Delhi
176832,Apple Airpods Headphones,1,148.51,150,04/19/19 20:21,Delhi
176833,Wired Headphones,1,10.9,11.99,04/21/19 19:32,Nashik
176834,Lightning Charging Cable,1,13.97,14.95,04/15/19 20:42,Nashik
176835,USB-C Charging Cable,1,11.17,11.95,04/23/19 16:55,Mumbai
176836,USB-C Charging Cable,2,10.86,11.95,04-10-2019 14:20,Nashik
176837,Lightning Charging Cable,1,14.51,14.95,04-10-2019 12:29,Nashik
176838,Lightning Charging Cable,1,13.59,14.95,04-05-2019 18:44,Pune
176839,20in Monitor,1,103.76,109.99,04-10-2019 07:19,Nashik
176840,USB-C Charging Cable,1,11.27,11.95,04-02-2019 10:08,Chennai
176841,AAA Batteries (4-pack),3,2.79,2.99,04/26/19 22:50,Nashik
176842,AA Batteries (4-pack),2,3.59,3.84,04-06-2019 23:16,Mumbai
176843,34in Ultrawide Monitor,1,351.84,379.99,04/21/19 11:22,Pune
176844,AA Batteries (4-pack),1,3.73,3.84,04/23/19 18:48,Delhi
176845,USB-C Charging Cable,1,11.49,11.95,04/15/19 14:26,Pune
176846,USB-C Charging Cable,1,10.96,11.95,04/19/19 09:03,Nashik
176847,AA Batteries (4-pack),3,3.59,3.84,04-03-2019 16:00,Pune
176848,27in FHD Monitor,1,142.85,149.99,04/28/19 18:09,Pune
176849,34in Ultrawide Monitor,1,351.84,379.99,04/22/19 10:59,Mumbai
176850,AA Batteries (4-pack),1,3.66,3.84,04-03-2019 12:40,Delhi
176851,AA Batteries (4-pack),1,3.66,3.84,04-09-2019 22:58,Pune
176852,AA Batteries (4-pack),1,3.8,3.84,04-09-2019 13:58,Pune
176853,AA Batteries (4-pack),1,3.56,3.84,04/24/19 11:41,Mumbai
176854,AA Batteries (4-pack),1,3.49,3.84,04-11-2019 22:05,Delhi
176855,Wired Headphones,1,11,11.99,04/21/19 16:42,Mumbai
176856,Lightning Charging Cable,1,14.66,14.95,04/13/19 10:59,Delhi
176857,Bose SoundSport Headphones,1,91.73,99.99,04/30/19 07:18,Chennai
176858,AAA Batteries (4-pack),1,2.79,2.99,04/16/19 13:25,Mumbai
176859,AA Batteries (4-pack),1,3.69,3.84,04/15/19 10:53,Delhi
176860,USB-C Charging Cable,1,11.06,11.95,04-04-2019 11:00,Mumbai
176861,Bose SoundSport Headphones,1,96.14,99.99,04/14/19 13:01,Chennai
176862,AAA Batteries (4-pack),1,2.74,2.99,04/29/19 11:37,Delhi
176863,27in FHD Monitor,1,136.35,149.99,04/19/19 17:18,Pune
176864,AAA Batteries (4-pack),2,2.93,2.99,04-02-2019 15:47,Mumbai
176865,AA Batteries (4-pack),1,3.66,3.84,04/18/19 14:28,Delhi
176866,ThinkPad Laptop,1,934.57,999.99,04-02-2019 11:42,Chennai
176867,AAA Batteries (4-pack),1,2.96,2.99,04/25/19 21:00,Nashik
176868,20in Monitor,1,107.83,109.99,04-05-2019 07:37,Delhi
176869,Apple Airpods Headphones,1,138.89,150,04/23/19 18:33,Pune
176870,AAA Batteries (4-pack),3,2.79,2.99,04-05-2019 18:38,Mumbai
176871,AA Batteries (4-pack),1,3.8,3.84,04/29/19 20:02,Delhi
176872,AA Batteries (4-pack),1,3.56,3.84,04/15/19 12:17,Pune
176873,AA Batteries (4-pack),1,3.69,3.84,04-06-2019 05:26,Pune
176874,AAA Batteries (4-pack),1,2.9,2.99,04/15/19 11:04,Nashik
176875,27in 4K Gaming Monitor,1,357.79,389.99,04/23/19 19:26,Delhi
176876,Bose SoundSport Headphones,1,98.03,99.99,04/23/19 21:15,Delhi
176877,Lightning Charging Cable,1,13.97,14.95,04-10-2019 15:48,Nashik
176878,ThinkPad Laptop,1,952.37,999.99,04/13/19 09:15,Mumbai
176879,Flatscreen TV,1,285.71,300,04/13/19 14:15,Chennai
176880,27in FHD Monitor,1,148.5,149.99,04-04-2019 08:36,Mumbai
176881,Wired Headphones,1,11.87,11.99,04/22/19 20:59,Nashik
176882,Wired Headphones,1,11.21,11.99,04/24/19 20:16,Chennai
176883,Wired Headphones,2,11.64,11.99,04/15/19 09:24,Mumbai
176884,USB-C Charging Cable,1,11.72,11.95,04-11-2019 09:04,Pune
176885,34in Ultrawide Monitor,1,376.23,379.99,04/22/19 21:26,Mumbai
176886,Flatscreen TV,1,275.23,300,04/19/19 20:44,Nashik
176887,AAA Batteries (4-pack),1,2.88,2.99,04-01-2019 12:59,Chennai
176888,Wired Headphones,1,11.1,11.99,04/15/19 13:57,Delhi
176889,AAA Batteries (4-pack),1,2.9,2.99,04/17/19 21:22,Mumbai
176890,USB-C Charging Cable,1,11.49,11.95,04/25/19 17:35,Delhi
176891,AAA Batteries (4-pack),1,2.9,2.99,04-07-2019 11:52,Pune
176892,AAA Batteries (4-pack),1,2.77,2.99,04-12-2019 22:50,Nashik
176893,AAA Batteries (4-pack),1,2.88,2.99,04/23/19 14:01,Delhi
176894,Flatscreen TV,1,280.37,300,04/13/19 17:23,Nashik
176895,Apple Airpods Headphones,1,136.36,150,04/24/19 08:44,Delhi
176896,AAA Batteries (4-pack),2,2.74,2.99,04/24/19 17:41,Mumbai
176897,Apple Airpods Headphones,1,144.23,150,04-02-2019 18:12,Mumbai
176898,Apple Airpods Headphones,1,147.06,150,04/18/19 17:05,Mumbai
176899,Lightning Charging Cable,1,14.8,14.95,04-05-2019 18:17,Chennai
176900,Bose SoundSport Headphones,1,92.58,99.99,04/21/19 06:17,Chennai
176901,Lightning Charging Cable,1,14.24,14.95,04/22/19 14:37,Chennai
